,Living Environment Score,Crime Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,"Education, Skills and Training Score",Employment Score (rate),Income Score (rate),Index of Multiple Deprivation (IMD) Score,Outdoors Sub-domain Score,safety,wealth,boring,depressing,lively,walk,beauty,lsoa
1378,29.21,0.29,-1.338,23.718,9.817,0.055,0.077,12.406,1.049,6.093387381235758,5.710071353117625,5.222531835238139,4.968677292929756,5.645125940110948,5.377979867988163,5.377446716361575,E01001401
1379,17.202,-0.308,-1.25,25.871,4.963,0.049,0.07,8.991,0.786,6.091574968293656,5.707214183031127,5.18807590007782,4.967194315999053,5.626827486725741,5.3402482892191685,5.569379258710285,E01001402
1380,28.11,-0.032,-0.761,33.696,12.51,0.063,0.096,15.86,0.971,6.051035640178583,5.652671101765755,5.234312660266191,4.9254627869679375,5.660972985243186,5.398182485653804,5.593006631044241,E01001403
1381,19.85,0.434,-0.677,37.303,15.207,0.074,0.12,19.168,0.717,5.99269666358771,5.512429488671793,5.345171178169692,5.1409762439580495,5.510807311672962,5.292987879638966,5.521210582560093,E01001404
1382,16.778,-0.435,-0.366,31.639,4.783,0.051,0.092,12.081,0.575,6.17740430978253,5.705765486373316,5.229008209369981,4.648731770112996,5.687924625318678,5.722357799330026,6.066077657977639,E01001405
1383,29.764,0.369,-0.211,35.962,13.496,0.114,0.151,24.464,0.872,6.075816541104703,5.56672038258733,5.114125221967697,4.835978052906088,5.67657930867092,5.426005905544436,5.6179582436342494,E01001406
1384,23.568,0.711,-0.88,32.572,15.78,0.071,0.108,18.518,0.417,5.779543162778366,5.3121822208397145,5.396811179412428,5.00959452778794,5.315798765005067,5.306260294692461,5.5221424061198565,E01001407
1385,43.992,-0.194,-0.605,24.5,8.292,0.071,0.108,16.678,0.596,5.925895260285961,5.384085350258406,5.106106666631477,4.92083881622137,5.695638399715572,5.372177078742389,5.475917721903602,E01001408
1386,34.934,0.433,-0.266,48.848,21.071,0.146,0.224,34.902,0.937,5.643691550540385,5.315625736942399,5.488843453805999,5.245929240506921,5.26920790254733,5.132101341829461,5.18676118864178,E01001409
1387,27.969,0.189,0.482,61.546,39.306,0.187,0.285,45.507,0.375,5.293949567136311,5.169038589984652,5.389918753079006,5.03840468611036,5.101970206177424,5.056600982234592,5.093643574487595,E01001410
1388,26.137,-0.194,-0.959,25.942,8.091,0.065,0.103,13.411,0.494,6.020384393937406,5.552259731013873,5.151907017356471,4.925950199539899,5.692874683971294,5.36218942327109,5.498943254961605,E01001411
1389,34.05,0.763,-0.754,49.872,20.863,0.093,0.145,28.35,1.061,5.661981808308457,5.202293703776318,5.613819010447065,5.016775501315366,4.982635684106106,5.297711261184328,5.824299984078739,E01001412
1390,16.085,-0.23,-0.848,26.674,4.895,0.037,0.05,7.768,0.247,6.0928635971605285,5.691601813824708,5.236582780179899,4.789006466707908,5.4971319461657,5.543865225039238,5.915375305601388,E01001413
1391,35.879,-0.377,0.188,50.694,37.323,0.185,0.277,42.821,0.095,6.058432107780412,5.524457092870746,5.488556874425788,4.696493599847046,5.372036034600777,5.599708977498506,6.077119943691276,E01001414
1392,17.217,0.249,-0.837,35.52,6.617,0.052,0.129,15.471,0.639,6.039524808154542,5.63509870004786,5.311550692177876,4.79088874801044,5.55271141020545,5.558956467874163,5.874902224606754,E01001415
1393,24.254,-0.6,-1.522,25.336,3.893,0.033,0.061,7.674,0.468,6.159834607936549,5.895756198458694,5.266288215463812,4.960155307961423,5.655315916504016,5.514853891003074,5.667301673067814,E01001416
1394,13.103,-0.668,-1.727,41.249,3.792,0.024,0.033,8.251,0.072,5.916834903396336,5.39316139938557,5.481538112606622,4.801452842644886,5.228356822402076,5.588860951060743,6.078963237948122,E01001417
1395,17.927,0.127,-0.338,35.969,7.53,0.11,0.151,21.09,0.593,6.1065535595019655,5.724377928177516,5.334944917758306,4.9204398880402245,5.603023825089137,5.54178140660127,5.706340790291628,E01001418
1396,19.586,0.23,-0.988,35.351,3.74,0.073,0.099,15.206,0.359,6.027885480146659,5.618512131665883,5.320380739867687,4.861979629648359,5.470945738648114,5.455559781507442,5.74685593459167,E01001419
1397,25.744,-0.051,-0.061,46.158,20.372,0.103,0.157,26.371,0.773,6.054936918404584,5.599156715179402,5.363725683076786,4.941524278922159,5.524685766527561,5.549518579993743,5.693962574656544,E01001420
1398,27.17,-0.172,-0.257,47.009,14.862,0.102,0.19,26.74,0.605,6.044765192342092,5.574213152190289,5.353092809039426,4.906482711613896,5.58077727742942,5.43868231557938,5.658157430499433,E01001421
1399,9.627,-0.829,-2.112,44.179,1.967,0.016,0.024,7.863,0.216,6.246881691458958,5.696842968853471,5.281637355003482,4.694174796537636,5.5443582269880505,5.662189248730154,6.132349363339492,E01001422
1400,31.58,0.576,-0.456,43.783,28.503,0.122,0.208,31.815,0.865,6.083538314640122,5.592823192577234,5.11905195569032,4.9463926193698144,5.6807437071064175,5.455155887059718,5.579114982745791,E01001423
1401,24.583,0.76,0.36,46.489,24.906,0.195,0.332,45.659,1.485,5.921956732869148,5.589654505252838,5.101664282381535,5.059415712952614,5.563310697674751,5.407759770751,5.480376094579697,E01001424
1402,36.817,1.579,-0.03,49.53,38.933,0.167,0.298,48.205,1.952,5.8070826670115965,5.439879401957141,5.263285293239929,4.997026084357226,5.427651234251685,5.246191360461662,5.4244164722235135,E01001425
1403,26.077,1.178,0.224,49.288,36.839,0.142,0.246,41.035,0.786,5.837576198577881,5.376013082471387,5.255091018512331,5.096656219712619,5.445842220043314,5.183673502658976,5.289471239057081,E01001426
1404,27.759,0.56,-0.193,53.705,40.591,0.162,0.286,42.558,1.634,5.3633939841831175,4.8879696177663625,5.55336434090579,5.429382394861292,4.972404233283466,4.980471417031906,4.939334031332423,E01001427
1405,31.141,0.422,-0.189,44.934,38.102,0.168,0.242,38.085,0.676,6.074016182627899,5.658640364937435,5.2274457018896445,4.840372269516749,5.653828652489264,5.506342652617701,5.599096286375791,E01001428
1406,38.425,1.063,0.353,37.697,37.857,0.186,0.312,46.391,1.219,5.760663544606863,5.359467734330855,5.32831860713239,5.156151066036345,5.443105561178435,5.228201743941637,5.209950808459108,E01001429
1407,33.805,0.533,-0.239,47.43,39.87,0.16,0.297,42.061,1.839,5.894790613132974,5.389962393304576,5.200693854819173,5.017667261154755,5.554848751296168,5.289129953021589,5.341668531946514,E01001430
1408,37.52,0.648,-0.126,53.976,33.838,0.163,0.283,43.347,1.429,5.784171543869317,5.322014507125406,5.275449459459267,5.139084862727745,5.573097532870722,5.287385572405422,5.38956222931544,E01001431
1409,48.375,0.901,-0.051,47.014,28.963,0.134,0.239,39.635,1.945,5.750664942192309,5.304724169499947,5.1751814150449,5.17592543182951,5.521576205889384,5.178520783330455,5.165681685462142,E01001432
1410,27.74,0.047,-0.099,45.886,47.992,0.139,0.23,36.086,0.94,5.773681327776256,5.306059299386697,5.491116295006069,5.224980705885717,5.264795477620236,5.1178953823099285,5.173541777630143,E01001433
1411,27.392,0.441,-0.361,42.287,34.912,0.095,0.172,28.191,0.68,5.765853124506333,5.397297992425806,5.5244448745951935,5.456279631923227,5.383504616863587,5.068591132760048,4.948176909018965,E01001434
1412,31.11,0.841,-0.55,32.105,32.131,0.088,0.165,26.237,0.794,5.752564029595287,5.36987302598265,5.433196191935195,5.316700669908032,5.423322977478971,5.133579910415964,5.0265845687119,E01001435
1413,27.423,0.325,-0.427,34.326,25.309,0.121,0.222,28.56,0.513,6.01571820292083,5.628139586568628,5.280696320083906,5.097157317887312,5.541624277642688,5.295413577331687,5.323845414245653,E01001436
1414,35.929,-0.339,0.119,50.492,29.556,0.15,0.269,38.766,0.532,5.466650715676865,5.110899037889915,5.643742298135663,5.4785184279526815,4.995514858595215,4.991333952752671,5.00928372746647,E01001437
1415,28.685,0.771,-0.242,40.608,29.997,0.14,0.246,34.949,0.901,5.824126391112804,5.389582927525043,5.341524735093117,5.20077056735754,5.514434963464737,5.204126427322626,5.230494559556246,E01001438
1416,27.992,0.586,-0.443,41.445,32.421,0.15,0.251,35.255,1.1,5.870789160385975,5.4791513648481,5.21720826625824,5.102737097450383,5.511434744076175,5.169311308070441,5.239186376497891,E01001439
1417,28.031,0.866,-0.525,37.588,28.439,0.119,0.206,30.551,1.262,5.898862466812134,5.539015284379324,5.363881363073985,5.114414825439453,5.476442920366923,5.285475335121155,5.398834923903148,E01001440
1418,26.03,0.989,-0.173,46.431,30.436,0.143,0.239,37.103,0.745,5.775628761653483,5.320614212620868,5.437375224419754,5.275762935624505,5.425921320045082,5.196397864905587,5.152505238560865,E01001441
1419,36.758,0.256,0.466,42.508,38.838,0.176,0.314,44.482,0.901,5.893592479683104,5.396423402286711,5.305298256022589,5.168759724923542,5.60761486916315,5.254885618175779,5.196614495345524,E01001442
1420,28.799,0.323,-0.474,39.948,22.704,0.076,0.137,22.75,0.939,5.674720391221003,5.253372543448702,5.611893946971368,5.315115295418906,5.172843571102948,5.025071819441034,5.11778781829624,E01001444
1421,41.336,0.181,-0.704,44.829,23.367,0.1,0.208,29.846,0.635,5.724295581528063,5.28809118310217,5.632592009632501,5.0961699556596205,5.064053486282676,5.158379540191625,5.502866003773,E01001445
1422,35.771,0.147,-0.514,36.082,28.867,0.114,0.188,27.924,0.836,5.98891266187032,5.426867224449335,5.212241809497508,5.105498609616775,5.66397779117259,5.388791976048965,5.3290986561960025,E01001446
1423,19.229,0.214,0.106,51.707,32.613,0.187,0.302,42.79,0.651,5.879089375687993,5.392764902788843,5.348754823839706,5.125270765156291,5.565832857529603,5.224536851101123,5.229148459518756,E01001447
1424,24.739,0.156,-0.352,40.597,26.153,0.13,0.224,30.162,0.6,5.966050835756155,5.3693650766060905,5.217991419709646,5.071877886469547,5.786240221216128,5.389136713284713,5.434289537943327,E01001448
1425,18.385,0.164,-0.484,45.914,31.872,0.105,0.217,29.422,0.63,5.7716618732972576,5.264830802787434,5.449828240004453,5.281705543127927,5.380667712471702,5.1586967685005884,5.003320065411654,E01001449
1426,27.758,0.399,-0.531,42.315,14.14,0.068,0.134,21.426,0.722,5.949450436234474,5.59460697889328,5.16835983812809,4.89966105401516,5.680449202060699,5.423815470933914,5.554272111058236,E01001450
1427,24.66,1.078,-1.371,39.438,4.533,0.055,0.068,16.806,0.942,6.130502180997715,5.74616564567699,5.284155733363573,4.752821828736815,5.71202598200288,5.631228448346604,5.918114849994349,E01001451
1428,25.328,-0.166,-1.284,35.196,5.062,0.046,0.061,11.358,0.602,6.1777525793148,5.8574650996848,5.156463905980315,4.826000502592401,5.723600108412247,5.665484734728366,5.90426895814606,E01001452
1429,16.093,-0.771,-1.749,30.564,2.798,0.033,0.032,6.185,0.486,6.3018043327331545,5.819678765932719,5.255329745610555,4.763069927427504,5.690165085262723,5.652818796369765,5.982192726135254,E01001453
1430,24.309,-0.602,-1.282,30.986,1.892,0.042,0.063,9.141,0.57,6.278181449933485,5.896904367389101,5.237540001218969,4.892769833405812,5.751703004042308,5.576874247103026,5.870507955551148,E01001454
1431,16.589,-0.711,-0.868,35.268,10.888,0.046,0.068,11.174,0.455,6.061760492999144,5.572202808327145,5.248163259390629,4.963306110916716,5.698065663828994,5.432685782210996,5.6071711134428925,E01001455
1432,22.078,-0.587,-1.567,20.458,1.274,0.029,0.052,5.686,0.762,6.290070676803589,5.980748829841613,5.125976386070252,4.745001966953278,5.828251104354859,5.592543439865112,5.873313475847244,E01001456
1433,16.569,-1.011,-0.634,37.43,7.307,0.068,0.091,13.891,0.529,6.1199884208349085,5.606318888755945,5.176204209144299,4.838547572493553,5.748021671405206,5.550123262863893,5.737557679414749,E01001457
1434,27.197,0.283,0.021,45.141,44.761,0.17,0.268,40.254,1.693,5.631162137520023,5.239618492562596,5.385963752502349,5.196108320864235,5.264519126676932,5.03384900383833,5.174917717532414,E01001458
1435,22.394,0.413,-0.908,33.855,24.406,0.101,0.174,23.802,0.906,6.0169783813852655,5.522197580673326,5.220263455955076,4.9137794602085165,5.6830001599352125,5.254345739391488,5.432067950846443,E01001459
1436,39.45,0.592,-0.148,45.458,38.786,0.145,0.236,38.272,0.95,6.001366601593193,5.509542933825789,5.162748962983318,4.943439358952402,5.671103795369466,5.375839411527261,5.465198593578119,E01001460
1437,26.113,0.345,-0.2,45.055,37.059,0.175,0.289,40.049,1.037,6.002597366770108,5.536092796259457,5.289440168274774,4.891469514204396,5.685637467437321,5.482685724066363,5.629374922977553,E01001461
1438,30.919,0.577,-0.663,46.611,26.352,0.137,0.254,35.063,0.647,6.010387726805427,5.492798981341449,5.107139814983714,4.96311105652289,5.788985861973329,5.4655552208423615,5.570237690752203,E01001462
1439,21.714,0.163,-0.57,36.859,21.372,0.083,0.176,22.651,0.847,6.063925680441734,5.571750224400789,5.118393995058843,4.9076493214338255,5.626425468004667,5.3928024210991,5.608836611111959,E01001463
1440,27.14,0.167,0.017,40.471,40.486,0.166,0.276,38.337,0.86,6.099863534278058,5.621735552523998,5.183292240115768,4.778232679299429,5.69810551616317,5.520566848998374,5.670023038877663,E01001464
1441,28.202,0.193,-0.835,42.021,25.934,0.091,0.151,24.442,1.213,5.8160595604069325,5.433984940223272,5.3942945418436885,5.20376240416785,5.356424051753724,5.155345775804467,5.326763880186976,E01001465
1442,34.764,0.249,-0.569,40.363,33.188,0.085,0.203,28.341,1.212,5.9985191822052,5.686913043260574,5.147328983992338,4.867525501797597,5.668543095390002,5.18006598452727,5.509036580721538,E01001466
1443,36.061,0.106,-0.792,40.915,22.694,0.096,0.185,26.454,1.142,6.084128469615788,5.708214722670518,5.108090013652653,4.853038146898344,5.710097870269379,5.192347271101816,5.537808028134433,E01001467
1444,10.465,0.067,0.432,48.421,10.349,0.177,0.136,29.819,0.0,5.7864455683478,5.369954076820407,5.471772804342467,5.130258928599028,5.304841631959224,5.329684491815238,5.4859441287558655,E01001468
1445,12.434,-0.538,-0.703,50.034,16.734,0.108,0.139,23.277,0.301,6.025712279712453,5.578022919236657,5.352226953455471,4.942294821382206,5.545163289748412,5.507636343094116,5.598053665084635,E01001469
1446,11.32,-0.704,-1.304,31.32,5.343,0.065,0.078,10.556,0.183,5.9879568176331865,5.45049430264367,5.404255441201278,4.866942753199658,5.390502295852486,5.543119940882415,5.862186122563929,E01001470
1447,20.138,-0.608,-0.866,45.295,7.131,0.073,0.11,17.36,0.392,6.127042163359492,5.6659029463404105,5.303745480744462,4.784588238126354,5.574388577749855,5.521575216399996,5.88410500554662,E01001471
1448,16.931,-0.654,-1.211,39.598,8.182,0.056,0.1,13.774,0.207,6.14824393260404,5.648579355305846,5.207085386012335,4.747411856111491,5.781402830807668,5.687488819818077,5.886277449205986,E01001472
1449,12.927,-0.374,-0.668,30.586,14.337,0.082,0.122,15.973,0.498,6.199641737357649,5.803337801701177,5.3370031421146695,4.717247163177167,5.562371999498398,5.609804711013875,5.950088638477225,E01001473
1450,11.914,-0.234,-1.217,41.494,2.142,0.065,0.077,13.064,0.432,6.199408595378582,5.653492833231832,5.345373600393861,4.760280027494326,5.676334378483531,5.608638255150764,5.957199219163957,E01001474
1451,19.599,-0.886,-1.293,25.74,5.802,0.038,0.055,7.273,0.285,6.317744655472239,5.9913254291817335,5.323418479787105,4.669950165246663,5.736437019548919,5.668508786333805,6.131740187914177,E01001475
1452,24.22,0.324,-0.476,36.734,30.763,0.112,0.205,28.029,0.946,5.848308969946468,5.359743823899942,5.329629285370602,5.3367183322415634,5.537685532780254,5.1660570362034965,5.174711643772967,E01001476
1453,26.512,0.385,-0.117,42.789,33.849,0.161,0.221,34.984,0.653,5.866085541091468,5.287544851240359,5.503852548175736,5.040752282660258,5.370200740271493,5.199691912453425,5.465891070663929,E01001477
1454,26.327,0.342,0.002,38.735,23.771,0.106,0.145,25.908,0.874,6.171624129971131,5.660538372614526,5.195754859621162,4.856565051520897,5.6747860253251945,5.420642664890416,5.669040952297236,E01001478
1455,42.194,0.516,-0.231,42.046,28.961,0.114,0.219,33.274,1.131,5.930288517556223,5.402261557222223,5.141368235860552,4.995230658524702,5.715760380232415,5.2995528412514,5.3265578633263,E01001479
1456,28.915,0.314,0.028,48.687,19.928,0.111,0.193,30.603,0.998,6.031047122119224,5.687144368478696,5.202798188549199,4.839471011945646,5.623716524202529,5.377706554654527,5.561566165865284,E01001480
1457,31.52,0.221,-0.324,37.466,22.741,0.104,0.185,26.529,1.024,5.725781707053489,5.172627773690731,5.460633171365616,5.3575554496430335,5.472234164146667,5.126446203348484,5.057637939427761,E01001481
1458,35.409,0.693,-0.253,47.88,32.869,0.151,0.243,38.527,1.073,5.952402809391851,5.38550310238548,5.299420081014219,5.102346938589345,5.621399017002272,5.322930578563525,5.356362127221149,E01001482
1459,42.224,0.688,0.412,57.466,37.806,0.209,0.345,53.716,0.986,5.792948187887669,5.211635106056929,5.5576646566391,5.11660670414567,5.335274258255959,5.18770580291748,5.334891846030951,E01001483
1460,32.107,0.579,-0.617,36.336,23.493,0.09,0.149,24.503,0.954,5.795805318427808,5.253369246107159,5.426854181289673,5.256055210575913,5.468831995761756,5.098455948540659,5.0185288747151695,E01001484
1461,38.902,0.893,-0.254,46.804,33.198,0.123,0.231,37.13,1.291,5.86864263645924,5.341822931366245,5.16534469597531,4.966235633314091,5.675910649508455,5.2872814496938325,5.340996016551109,E01001485
1462,23.449,0.315,-0.213,51.379,39.469,0.166,0.294,41.507,0.758,5.834163894324467,5.272041558397227,5.343185621294482,5.126689259759311,5.581489183984954,5.244847029653089,5.336120149184918,E01001486
1463,30.991,0.411,-0.23,44.707,32.506,0.149,0.226,35.047,1.17,5.982139211276482,5.466756916251676,5.043065535611119,4.997965407782588,5.855013670592473,5.345053069550415,5.424471891131894,E01001487
1464,31.298,0.57,-0.569,41.769,29.292,0.11,0.21,30.484,0.959,5.961978532434479,5.401266066039481,5.170566871883423,5.015490623993602,5.6810138254630855,5.416576870088655,5.622698880792633,E01001488
1465,30.269,0.541,-0.37,41.297,35.108,0.119,0.188,30.915,0.922,5.928547125203269,5.372584852150508,5.165697478396552,5.091887847866331,5.73684834923063,5.381541466712951,5.300905392851148,E01001489
1466,35.051,0.473,-0.264,44.663,25.397,0.127,0.215,32.824,0.908,6.002750354153769,5.5507996167455405,5.095764264890126,4.899826697792325,5.712770204884666,5.370553937980107,5.519127927507673,E01001491
1467,30.958,0.761,-0.445,42.595,27.635,0.12,0.212,32.044,1.035,5.971931742504239,5.293146795593202,5.156594309024513,4.971879297867417,5.679601199924946,5.339068801142275,5.3947271490469575,E01001492
1468,20.675,-0.38,-0.097,47.992,22.335,0.138,0.178,29.242,1.005,6.211466637063534,5.740354867691689,5.363789051137072,4.930868585058984,5.645044940583249,5.4029653934722255,5.547603236868026,E01001493
1469,22.306,-0.377,-0.724,33.713,13.77,0.059,0.116,15.474,0.838,6.01789994179448,5.683879219278505,5.295785279213628,5.130189711534524,5.679520382156855,5.266961208627194,5.342385879045801,E01001494
1470,30.85,0.095,-1.004,29.244,5.408,0.049,0.079,12.544,0.95,6.304427454152058,5.787585185975144,5.011030528963227,4.81128282645314,5.859147801841657,5.457567260437405,5.796840947927888,E01001495
1471,25.211,-0.147,-0.875,32.033,7.538,0.062,0.101,14.271,0.889,6.248003961518407,5.799328972585499,5.150921591557562,5.02741518151015,5.738107487559319,5.368472808972001,5.527857908047736,E01001496
1472,23.021,0.43,-0.698,40.892,14.15,0.085,0.177,23.466,0.865,5.851826320036999,5.358485107922422,5.415072050542463,5.284496231632338,5.499940069999484,5.1208815574646,5.165603851086527,E01001497
1473,36.392,0.196,-0.743,31.783,7.079,0.063,0.12,17.405,1.273,6.0296046448080505,5.573592814680648,4.906315018052924,4.956161677020869,5.831125354113644,5.376321863638212,5.529534124348261,E01001498
1474,30.283,0.23,-0.281,39.624,13.669,0.088,0.171,24.023,1.55,5.738469482392304,5.395449627277463,5.426188713820406,5.31804061813872,5.359811897425688,4.977336664070455,5.034238508043363,E01001499
1475,33.173,0.67,-0.688,35.249,9.3,0.069,0.12,19.827,1.624,5.948749788237124,5.498917707706087,5.235350973614534,5.066788980059405,5.573437355432409,5.187538794830916,5.408990571861132,E01001500
1476,36.526,0.579,-0.129,41.055,11.411,0.091,0.166,26.291,1.355,5.963084585198732,5.591356852901316,5.243681007456557,5.056028279188637,5.52503269632286,5.264961658237136,5.53471061559481,E01001501
1477,34.042,0.64,-0.489,41.376,31.282,0.112,0.202,31.213,1.018,5.709547980141093,5.135657441525059,5.296208206023879,5.227531524104927,5.383585564962781,5.097277331898231,5.029369279628492,E01001502
1478,31.527,0.466,-0.44,38.543,26.957,0.095,0.204,28.155,0.893,5.862760139333791,5.359014716641656,5.292237655869846,5.151710679613311,5.577464802511807,5.237520092931287,5.285458636283875,E01001503
1479,34.119,0.5,-0.296,39.512,27.413,0.126,0.185,30.29,0.947,5.820033927249093,5.482548068731259,5.464251043450119,5.261833137936062,5.399731988580818,5.118252547378214,5.160918550613599,E01001504
1480,30.167,0.435,-0.138,41.388,27.261,0.142,0.232,33.573,1.039,5.982442683082516,5.5604826444286415,5.330272781646858,5.126492385136879,5.6174207501492255,5.237380480362197,5.243921067755101,E01001505
1481,30.102,0.739,0.002,45.043,32.894,0.147,0.265,38.67,1.224,5.589596507878139,5.214903264210142,5.6000451486686185,5.308589146935881,5.0713645663167455,5.048428822914368,5.185276665123813,E01001506
1482,32.24,0.914,-0.279,47.302,31.003,0.171,0.257,40.471,1.378,5.728366214237856,5.29252123229959,5.328949675801095,5.192902011817761,5.471687057045068,5.141128398729174,5.141119604700067,E01001507
1483,31.038,0.541,-0.29,45.176,22.934,0.116,0.224,31.854,1.191,5.892214558042329,5.458942211907486,5.285979485511779,5.037816452980041,5.550729748298382,5.227304365717131,5.357309667817478,E01001508
1484,40.923,0.336,-0.766,47.773,28.429,0.135,0.217,34.342,0.695,5.9314445952574415,5.380674863855044,5.352964406212171,5.184875716765721,5.514814527829488,5.336598940690359,5.333352221051852,E01001509
1485,43.653,0.515,0.505,38.299,40.407,0.204,0.307,47.177,1.004,5.383114828782923,4.895901602857253,5.677065369662117,5.489368513051201,4.921798871545231,4.906498118007884,4.922009287160986,E01001510
1486,33.354,0.857,-0.484,30.219,12.917,0.085,0.13,21.859,0.999,5.808637006007708,5.385595580247732,5.353964668970842,5.155611936404155,5.416967815160751,5.12742706491397,5.219694679517012,E01001511
1487,33.714,-0.109,-0.845,36.776,12.161,0.067,0.121,18.403,0.816,6.0949559860369735,5.664042005644125,5.201078412287376,4.867122367024422,5.741501092910767,5.373878708657096,5.53136741939713,E01001512
1488,25.324,0.689,-0.086,41.124,26.043,0.138,0.231,33.421,1.204,5.691439636271377,5.259165812433565,5.566755036246681,5.241588339409304,5.268538131470974,5.084580870799661,5.152043879511529,E01001513
1489,33.825,-0.13,-0.67,32.639,19.2,0.093,0.15,21.731,0.534,6.0495210647583,5.615022213260333,5.175234446922938,4.908531575401624,5.709357116619746,5.35567352771759,5.650404532750447,E01001514
1490,36.691,-0.032,0.177,48.059,28.083,0.142,0.25,37.118,0.763,5.906941530316375,5.411276684250942,5.317968155986579,5.058444329934527,5.505039029343184,5.263134057207625,5.2787233452464255,E01001515
1491,26.708,0.046,-0.273,41.924,26.884,0.128,0.187,28.911,0.991,5.796292266743706,5.399526993858623,5.521447721012136,5.2446087471304095,5.312522119379299,5.076027659808888,5.12556388798882,E01001516
1492,16.037,0.468,0.293,43.854,57.186,0.209,0.334,48.739,0.813,5.767110842466354,5.310774514079094,5.572205688556036,5.298383727669716,5.331916277607282,5.134813362360001,5.117949716250101,E01001517
1493,37.731,0.838,-0.418,31.185,6.995,0.08,0.148,22.402,1.179,6.048367057348552,5.601684565293161,5.289845789106269,4.936408148313824,5.5324219716222665,5.348551865627891,5.54404143659692,E01001518
1494,20.327,-0.578,-1.205,35.798,3.331,0.05,0.122,13.242,0.631,5.9038009760672585,5.441422635630557,5.20058474415227,5.017248158287583,5.607377023027654,5.351062222112689,5.4592101724524245,E01001519
1495,16.007,-0.251,-0.781,39.61,6.751,0.089,0.118,17.439,0.492,6.142743792054215,5.714287146308719,5.156880807594435,4.857114164786931,5.71877550373416,5.566663131205993,5.815270667950783,E01001520
1496,19.279,-0.322,-1.309,32.171,1.604,0.039,0.061,8.942,0.695,6.080935024131428,5.772401964664459,5.292750877141953,4.745154573158785,5.5557449194518,5.510377157818187,5.921761019121517,E01001521
1497,10.67,-0.466,-0.922,32.259,12.498,0.064,0.12,14.078,0.338,6.199552853365202,5.790100775054984,5.347038261793755,4.80137148016208,5.550049757635271,5.6241968145241605,5.958760606276022,E01001522
1498,14.814,-0.08,-1.129,29.016,4.41,0.037,0.065,8.803,0.391,6.074834363616032,5.704192274938459,5.306499584861424,4.883069316330164,5.615211902753167,5.504571762421857,5.719638960516972,E01001523
1499,22.152,-0.6,-0.56,41.006,12.275,0.098,0.151,21.144,0.447,6.116691717595765,5.679713115547642,5.317902649893905,4.915510649030859,5.703160816972906,5.5843054607059015,5.755981821002382,E01001524
1500,30.573,0.052,-0.535,35.44,5.236,0.067,0.107,16.784,0.645,6.077838191470584,5.657539541012532,5.246716634002892,4.891418045920295,5.703255860869949,5.453475682799881,5.570969613822731,E01001525
1501,12.115,-1.061,-1.439,43.839,4.319,0.036,0.056,10.158,0.399,6.288861533999443,5.870482911914587,5.28631456270814,4.829249709099531,5.7746796071529385,5.653173223137856,5.98802611976862,E01001526
1502,30.322,0.324,-0.74,35.166,4.408,0.058,0.096,15.807,1.018,6.058091781926497,5.717152775759902,5.263665331037421,4.92756158712378,5.566224215703718,5.375040374874498,5.784956246471861,E01001527
1503,31.658,0.34,-0.209,46.269,30.325,0.143,0.229,34.923,1.387,5.668410193752235,5.276411551824758,5.391726905191448,5.257628241894951,5.29139862513878,5.010886158741696,5.117667490327862,E01001528
1504,26.108,0.692,0.309,37.736,19.312,0.132,0.223,32.233,0.913,5.965115279567485,5.48773103749671,5.283468738705123,4.9909489187253575,5.484332837215086,5.3534318662825084,5.536669598144739,E01001529
1505,32.933,0.451,-0.834,38.093,6.261,0.083,0.128,20.501,1.202,5.929971611901616,5.53638201081351,5.1997590125276805,5.040540741400772,5.550463920228936,5.194242689046967,5.393871485517266,E01001530
1506,26.324,-0.401,-1.452,31.108,1.026,0.037,0.047,8.429,0.527,6.408263127009074,6.025034442543984,5.046341980497043,4.796528432340849,5.879567987862087,5.553442184414182,6.046349612020311,E01001531
1507,26.9,-0.37,-1.688,27.207,1.031,0.044,0.056,8.506,0.539,6.274049149938376,5.911125954375209,5.1003079543630765,4.751147481332342,5.850781354559473,5.496115144476833,6.002810901906117,E01001532
1508,21.602,-0.528,-0.96,22.903,1.99,0.039,0.054,7.078,0.589,6.217113058645647,5.879161340194744,5.216301845325218,4.87622472676602,5.707299382477016,5.501541093155578,5.819351386237931,E01001533
1509,22.529,0.469,-1.378,32.148,3.39,0.04,0.061,11.197,1.06,6.065225228667259,5.8162986280826425,5.1922682007918,4.961657837606394,5.664548410819127,5.417913783628207,5.596741911310416,E01001534
1510,28.014,0.746,-1.091,30.925,3.289,0.051,0.083,14.357,1.351,6.12373186404409,5.826778205391628,5.2195890791275925,5.046069347780515,5.68645728335661,5.421918893172071,5.6630023725671705,E01001535
1511,32.721,0.545,-0.585,28.112,8.327,0.083,0.116,18.752,0.646,6.120888488769531,5.6129407787323,5.193519378662109,4.792717444419861,5.722694351196289,5.517616212368012,5.838778260707855,E01001536
1512,18.635,-0.552,-0.892,31.419,7.82,0.046,0.095,11.559,0.376,5.828409953887419,5.585219905243157,5.295280370653046,4.963416329822185,5.430779427475071,5.303095307409393,5.425701042880183,E01001537
1513,18.826,-0.223,-1.086,29.331,10.366,0.059,0.063,11.124,0.673,6.073644304275513,5.668826424330473,5.355241603404283,5.0198539108037945,5.634462109208107,5.391287000477314,5.412764830887317,E01001538
